ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
2132,1981,10,25,3,22,15.5,18.084,-102.084,0.09,0,0,0,0
2589,1982,1,11,6,10,6.4,13.752,124.358,0.1,0,0,0,0
2134,1982,2,24,4,22,40.3,4.374,97.755,0.1,0,0,0,0
2343,1982,3,11,10,32,27.1,-9.265,118.479,0.1,0,0,0,0
2135,1982,3,21,2,32,7.7,42.158,142.361,1.3,0,0,0,0
2136,1982,7,23,14,23,53.5, JAPAN,36.194,85,0,0,0,0
2137,1982,12,19,17,43,54.8,-24.133,-175.864,0.2,0,0,0,0
2689,1982,12,25,12,28,2.8,-8.405,123.08,0,0,0,0,0
2139,1982,12,28,6,37,42.5,33.826,139.434,0.19,0,0,0,0
2917,1983,1,17,12,41,29.7,38.026,20.228,0,0,0,0,0
2140,1983,3,12,1,36,35.8,-4.056,127.924,3,0,0,0,0
2141,1983,3,18,9,5,50,-4.883,153.581,0.3,0,0,0,0
2142,1983,5,26,2,59,59.6, JAPAN,40.462,85,0,0,2,3
2144,1983,6,9,12,49,3.8, JAPAN,40.249,85,0,0,0,0
2145,1983,6,21,6,25,27.3,41.346,139.099,1,0,0,0,0
2146,1983,8,6,15,43,51.2,40.142,24.766,0,0,0,0,0
2147,1983,8,17,10,55,54.1, RUSSIA,55.867,86,0,0,0,0
2148,1983,8,17,12,17,56,18.231,120.86,0.1,0,0,0,0
4702,1983,8,17,0,0,0,-8.54,123.59,0,0,0,0,0
4248,1983,8,18,9,0,0,61.233,7.717,7,0,0,0,0
2149,1983,10,4,18,52,13.3,-26.535,-70.563,0.2,0,0,0,0
2150,1983,11,30,17,46,0.6,-6.852,72.11,1.5,0,0,0,0
2151,1984,1,8,15,24,13.5,-2.823,118.806,0.1,0,0,0,0
2152,1984,2,11,8,2,51.5, GREECE,38.396,50,0,0,0,0
2153,1984,3,24,9,44,2.6,44.117,148.192,0.2,0,0,0,0
2154,1984,6,13,2,29,25.3, OKINAWA,31.448,85,0,0,0,0
2155,1984,8,6,19,6,38.3, JAPAN,32.386,85,0,0,0,0
2156,1984,9,18,17,2,44.3,34.006,141.5,0.13,0,0,0,0
2157,1984,12,28,10,37,53.7,56.194,163.46,0.2,0,0,0,0
2158,1985,3,3,22,47,9.5,-33.132,-71.708,3.5,0,0,0,0
2159,1985,3,16,14,54,0.7,17.013,-62.448,0.12,0,0,0,0
2160,1985,4,13,1,6,0.1,-9.245,114.185,2,0,0,0,0
2161,1985,7,3,4,36,51.7,-4.439,152.828,1.3,0,0,0,0
2162,1985,9,19,13,17,47.3,18.19,-102.533,3,0,0,0,0
2163,1985,9,21,1,37,13.4,17.802,-101.647,1.2,0,0,0,0
2164,1986,5,7,22,47,10.8, AK,51.52,87,0,0,0,0
2165,1986,5,17,16,20,22.2, AK,52.327,87,0,0,0,0
2166,1986,10,20,6,46,9.9,-28.117,-176.367,0.22,0,0,0,0
3507,1986,11,14,21,20,10.5,23.901,121.574,0.3,0,0,0,0
2167,1987,2,6,13,16,17.8,36.988,141.689,0.1,0,0,0,0
2168,1987,2,8,18,33,58.3,-6.088,147.689,1.5,0,0,0,0
4237,1987,2,21,7,40,0,62.2,6.65,3,0,0,0,0
2169,1987,3,5,9,17,5.2,-24.388,-70.161,0.2,0,0,0,0
2170,1987,3,18,3,36,30.3,32.034,131.837,0.04,0,0,0,0
2171,1987,3,24,12,49,47,37.447,137.865,0.16,0,0,0,0
5514,1987,5,20,0,0,0,-45.46,167.15,0,0,0,0,0
2172,1987,6,18,14,3,16.7,-10.717,162.33,0.1,0,0,0,0
2173,1987,7,6,2,49,42.7,-14.074,167.828,0.1,0,0,0,0
2174,1987,10,6,4,19,6,-17.94,-172.225,0.25,0,0,0,0
2175,1987,10,12,13,57,4.7,-7.288,154.371,0.1,0,0,0,0
2176,1987,10,16,20,48,1.6,-6.266,149.06,0.1,0,0,0,0
2177,1987,11,17,8,46,53.3, AK,58.586,87,0,0,0,0
2178,1987,11,26,1,43,14,-8.247,124.155,0.1,0,0,0,0
2179,1987,11,30,19,23,19.5, AK,58.679,87,0,0,0,0
2180,1988,2,5,14,1,2.7,-24.753,-70.433,0.1,0,0,0,0
2181,1988,3,6,22,35,36.9, AK,57.262,87,0,0,0,0
2591,1988,4,20,5,30,0, VULCANO IS.,38.4,50,0,0,0,0
2688,1988,4,30,0,0,0,0,0,0,0,0,0,0
2182,1988,6,24,2,6,26.3,18.606,121.013,1.03,0,0,0,0
2183,1988,7,5,20,32,7.2,-5.964,148.78,0.1,0,0,0,0
2372,1988,8,6,0,36,24.6, ARICHA, BANGLADESH,95.127,30,0,3,0
2184,1988,8,10,4,38,29.2,-10.258,160.896,0.09,0,1,0,0
2185,1989,5,23,10,54,46.3,-52.341,160.568,0.1,0,0,0,0
2186,1989,6,26,3,27,3.9,19.362,-155.083,0.29,0,0,0,0
2187,1989,9,4,13,14,58.2, AK,55.543,87,0,0,0,0
2188,1989,10,18,0,4,15.2,37.036,-121.883,1,0,0,0,0
2189,1989,10,29,5,25,38.2,39.571,143.333,0.11,0,0,0,0
2919,1989,10,29,19,9,12.9, CHERCHELL, TIPAZA,2.448,0,0,0,0
2369,1989,11,1,10,25,52.2,18.986,-68.833,0.1,0,0,0,0
2190,1989,11,1,18,25,34.9,39.837,142.76,0.9,0,0,0,0
5440,1990,2,8,7,15,32.2,9.755,124.694,2.1,0,0,0,0
2191,1990,2,20,6,53,39.8,34.706,139.252,0.16,0,0,0,0
2192,1990,3,25,13,22,55.6,9.919,-84.808,1,0,0,0,0
2194,1990,4,5,21,12,35.5, N. MARIANA ISLANDS,15.125,81,0,0,0,0
2195,1990,5,0,0,0,0,PHILIPPINES,7,84,0,0,0,0
2196,1990,9,23,21,13,7.4, IZU IS., JAPAN,138.643,0,0,0,0
2197,1990,12,13,0,24,25.7,37.3,15.438,0.1,0,0,0,0
2198,1990,12,13,19,50,17.8,23.722,121.627,0.04,0,0,0,0
2920,1991,1,4,0,0,0,37.7,26.3,0,0,0,0,0
